Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 115.0.0.0,Test Scenario Login,,2023-07-29 08:45:13,2023-07-29 08:46:37,1m - 23.794s,FAILED
,,,,,,,
Test Cases/Login/Login_TC001,Chrome 115.0.0.0,Login With Valid Credentials,,2023-07-29 08:45:15,2023-07-29 08:45:37,22.406s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-07-29 08:45:16,2023-07-29 08:45:26,9.981s,PASSED
"navigateToUrl(""http://kasirdemo.belajarqa.com"")",Chrome 115.0.0.0,,,2023-07-29 08:45:26,2023-07-29 08:45:28,2.170s,PASSED
"setText(findTestObject(""Object Repository/Login Page Kasir Aja/input_email_email""), ""sampurasun@example.com"")",Chrome 115.0.0.0,,,2023-07-29 08:45:28,2023-07-29 08:45:30,1.630s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login Page Kasir Aja/input_password_password""), ""W3qk0KAzYeVEwSJa63Drww=="")",Chrome 115.0.0.0,,,2023-07-29 08:45:30,2023-07-29 08:45:32,1.759s,PASSED
"click(findTestObject(""Object Repository/Login Page Kasir Aja/button_login""))",Chrome 115.0.0.0,,,2023-07-29 08:45:32,2023-07-29 08:45:34,1.901s,PASSED
"verifyElementPresent(findTestObject(""Login Page Kasir Aja/Verify/Card Dashboard Present""), 10)",Chrome 115.0.0.0,,,2023-07-29 08:45:34,2023-07-29 08:45:36,2.305s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-07-29 08:45:36,2023-07-29 08:45:37,1.124s,PASSED
,,,,,,,
Test Cases/Login/Login_TC002,Chrome 115.0.0.0,Login with invalid credentials,,2023-07-29 08:45:37,2023-07-29 08:45:47,10.436s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-07-29 08:45:38,2023-07-29 08:45:41,2.553s,PASSED
"navigateToUrl(""http://kasirdemo.belajarqa.com"")",Chrome 115.0.0.0,,,2023-07-29 08:45:41,2023-07-29 08:45:43,1.674s,PASSED
"setText(findTestObject(""Object Repository/Login Page Kasir Aja/input_email_email""), ""invalid@asd.com"")",Chrome 115.0.0.0,,,2023-07-29 08:45:43,2023-07-29 08:45:44,1.588s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login Page Kasir Aja/input_password_password""), ""W3qk0KAzYeVEwSJa63Drww=="")",Chrome 115.0.0.0,,,2023-07-29 08:45:44,2023-07-29 08:45:45,0.946s,PASSED
"click(findTestObject(""Object Repository/Login Page Kasir Aja/button_login""))",Chrome 115.0.0.0,,,2023-07-29 08:45:45,2023-07-29 08:45:46,0.746s,PASSED
"verifyElementPresent(findTestObject(""Login Page Kasir Aja/Verify/div_Kredensial yang Anda berikan salah""), 0)",Chrome 115.0.0.0,,,2023-07-29 08:45:46,2023-07-29 08:45:47,0.762s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-07-29 08:45:47,2023-07-29 08:45:47,0.886s,PASSED
,,,,,,,
Test Cases/Login/Login_TC003,Chrome 115.0.0.0,Login with invalid email format,,2023-07-29 08:45:47,2023-07-29 08:45:59,11.311s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-07-29 08:45:50,2023-07-29 08:45:52,2.365s,PASSED
"navigateToUrl(""http://kasirdemo.belajarqa.com"")",Chrome 115.0.0.0,,,2023-07-29 08:45:52,2023-07-29 08:45:54,1.616s,PASSED
"setText(findTestObject(""Object Repository/Login Page Kasir Aja/input_email_email""), ""invalidformat"")",Chrome 115.0.0.0,,,2023-07-29 08:45:54,2023-07-29 08:45:55,1.401s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login Page Kasir Aja/input_password_password""), ""W3qk0KAzYeVEwSJa63Drww=="")",Chrome 115.0.0.0,,,2023-07-29 08:45:55,2023-07-29 08:45:56,1.028s,PASSED
"click(findTestObject(""Object Repository/Login Page Kasir Aja/button_login""))",Chrome 115.0.0.0,,,2023-07-29 08:45:56,2023-07-29 08:45:57,0.713s,PASSED
"verifyElementPresent(findTestObject(""Login Page Kasir Aja/Verify/div_email must be a valid email""), 0)",Chrome 115.0.0.0,,,2023-07-29 08:45:57,2023-07-29 08:45:58,0.938s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-07-29 08:45:58,2023-07-29 08:45:59,1.157s,PASSED
,,,,,,,
Test Cases/Login/Login_TC004,Chrome 115.0.0.0,Login with empty email,,2023-07-29 08:45:59,2023-07-29 08:46:10,11.301s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-07-29 08:46:00,2023-07-29 08:46:03,3.534s,PASSED
"navigateToUrl(""http://kasirdemo.belajarqa.com"")",Chrome 115.0.0.0,,,2023-07-29 08:46:03,2023-07-29 08:46:05,2.233s,PASSED
"setText(findTestObject(""Object Repository/Login Page Kasir Aja/input_email_email""), """")",Chrome 115.0.0.0,,,2023-07-29 08:46:05,2023-07-29 08:46:07,1.209s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login Page Kasir Aja/input_password_password""), ""W3qk0KAzYeVEwSJa63Drww=="")",Chrome 115.0.0.0,,,2023-07-29 08:46:07,2023-07-29 08:46:07,0.917s,PASSED
"click(findTestObject(""Object Repository/Login Page Kasir Aja/button_login""))",Chrome 115.0.0.0,,,2023-07-29 08:46:07,2023-07-29 08:46:08,0.781s,PASSED
"verifyElementPresent(findTestObject(""Login Page Kasir Aja/Verify/div_email is not allowed to be empty""), 0)",Chrome 115.0.0.0,,,2023-07-29 08:46:08,2023-07-29 08:46:09,0.805s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-07-29 08:46:09,2023-07-29 08:46:10,1.022s,PASSED
,,,,,,,
Test Cases/Login/Login_TC005,Chrome 115.0.0.0,Login with empty password,,2023-07-29 08:46:10,2023-07-29 08:46:22,11.838s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-07-29 08:46:11,2023-07-29 08:46:14,2.586s,PASSED
"navigateToUrl(""http://kasirdemo.belajarqa.com"")",Chrome 115.0.0.0,,,2023-07-29 08:46:14,2023-07-29 08:46:15,1.424s,PASSED
"setText(findTestObject(""Object Repository/Login Page Kasir Aja/input_email_email""), ""invalid@credentials.com"")",Chrome 115.0.0.0,,,2023-07-29 08:46:15,2023-07-29 08:46:18,2.319s,PASSED
