Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Register,Chrome 115.0.0.0,,,2023-07-29 08:45:21,2023-07-29 08:47:34,2m - 13.179s,FAILED
,,,,,,,
Test Cases/Register/Register_TC001,Chrome 115.0.0.0,Register with valid data,,2023-07-29 08:45:22,2023-07-29 08:45:46,24.002s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-07-29 08:45:24,2023-07-29 08:45:34,9.845s,PASSED
"navigateToUrl(""http://kasirdemo.belajarqa.com"")",Chrome 115.0.0.0,,,2023-07-29 08:45:34,2023-07-29 08:45:35,1.769s,PASSED
"click(findTestObject(""Object Repository/Register Page Kasir Aja/a_ingin mencoba, daftar""))",Chrome 115.0.0.0,,,2023-07-29 08:45:35,2023-07-29 08:45:36,1.073s,PASSED
"setText(findTestObject(""Object Repository/Register Page Kasir Aja/input_nama toko_name""), ""Sample Toko"")",Chrome 115.0.0.0,,,2023-07-29 08:45:36,2023-07-29 08:45:38,1.559s,PASSED
"setText(findTestObject(""Object Repository/Register Page Kasir Aja/input_email_email""), ""sampletoko@fmail.com"")",Chrome 115.0.0.0,,,2023-07-29 08:45:38,2023-07-29 08:45:40,1.712s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Register Page Kasir Aja/input_password_password""), ""8SQVv/p9jVSS5nNkgwYDWQ=="")",Chrome 115.0.0.0,,,2023-07-29 08:45:40,2023-07-29 08:45:42,2.077s,PASSED
"click(findTestObject(""Object Repository/Register Page Kasir Aja/button_daftar""))",Chrome 115.0.0.0,,,2023-07-29 08:45:42,2023-07-29 08:45:43,1.141s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 115.0.0.0,,,2023-07-29 08:45:43,2023-07-29 08:45:43,0.002s,PASSED
"Berhasil_Text = getText(findTestObject(""Register Page Kasir Aja/Verify/div_Toko berhasil didaftarkananda dapat men_b3a8bd""))",Chrome 115.0.0.0,,,2023-07-29 08:45:43,2023-07-29 08:45:45,1.573s,PASSED
"verifyElementVisible(findTestObject(""Register Page Kasir Aja/Verify/div_Toko berhasil didaftarkananda dapat men_b3a8bd""))",Chrome 115.0.0.0,,,2023-07-29 08:45:45,2023-07-29 08:45:45,0.702s,PASSED
"verifyMatch(Berhasil_Text, ""^Toko berhasil didaftarkan.*"", true)",Chrome 115.0.0.0,,,2023-07-29 08:45:45,2023-07-29 08:45:45,0.063s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-07-29 08:45:45,2023-07-29 08:45:46,0.931s,PASSED
,,,,,,,
Test Cases/Register/Register_TC002,Chrome 115.0.0.0,Register with empty name,,2023-07-29 08:45:46,2023-07-29 08:46:00,13.314s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-07-29 08:45:46,2023-07-29 08:45:49,2.457s,PASSED
"navigateToUrl(""http://kasirdemo.belajarqa.com"")",Chrome 115.0.0.0,,,2023-07-29 08:45:49,2023-07-29 08:45:50,1.218s,PASSED
"click(findTestObject(""Object Repository/Register Page Kasir Aja/a_ingin mencoba, daftar""))",Chrome 115.0.0.0,,,2023-07-29 08:45:50,2023-07-29 08:45:52,1.881s,PASSED
"setText(findTestObject(""Object Repository/Register Page Kasir Aja/input_nama toko_name""), """")",Chrome 115.0.0.0,,,2023-07-29 08:45:52,2023-07-29 08:45:54,1.911s,PASSED
"setText(findTestObject(""Object Repository/Register Page Kasir Aja/input_email_email""), ""sampletoko@fmail.com"")",Chrome 115.0.0.0,,,2023-07-29 08:45:54,2023-07-29 08:45:56,1.571s,PASSED
